Industry,vocab
advertising,"advertising, executive, develop, implement, campaigns, creative, thinking, strategic, planning, communication, leadership, project, management, art, director, oversee, visual, aspects, media, team, copywriter, write, persuasion, content, marketing, brand, awareness, research, skills, sign, holder, hold, promote, businesses, physical, stamina, weather, tolerance, reliability, attention, detail, customer, interaction, leaflet, distributor, distribute, flyers, materials, activity, time"
aerospace,"space, mission, planner, design, coordinate, exploration, aerospace, engineering, project, management, systems, analysis, risk, assessment, strategic, planning, debris, tracker, monitor, predict, movements, orbital, mechanics, mathematical, modeling, data, problem, solving, science, elevator, transportation, earth, materials, physics, innovation, asteroid, mining, extracting, resources, hypersonic, flight, aircraft, capable, extreme, speeds, aerodynamics, technical, skills, terraforming, specialist, make, planets, habitable, humans, planetary, environmental, spacecraft, cad, testing"
agriculture,"farmer, grow, crop, raise, livestock, food, production, physical, stamina, problem, solving, environmental, awareness, time, management, planning, fisherman, catch, fish, seafood, commercial, purposes, safety, navigation, beekeeper, bee, colonies, harvest, honey, animal, husbandry, seasonal, protect, equipment, use, processing, agriculture, knowledge, duster, pilot, spray, fields, aircraft, aviation, skills, weather, assess, precision, flying, chemical, viticulturist, grapes, wine, science, soil, analysis, quality, control, aquaculture, aquatic, organisms, biology, water, operation, specialist, technology, optimize, gps, data, innovation, vertical, farm, oversee, indoor, systems, hydroponics, urban, city, environments, mushroom, cultivate, exotic, medicine, mycology, heritage, breeds, conservationist, preserve, rare, endangered, conservation, genetics, microgreen, nutrient, dense, young, vegetables, restaurants, markets, customer, service, heirloom, tomato, grower, varieties, horticulture, health, improve, research, aquaponics, plants, together, sustainable, thinking, fruit, tree, antique, regenerative, implement, practices, restore, guardian, traditional, herbs, historical, healing, botany, grain, miller, ancient, wheat, worker, perform, tasks, maintenance, work, attention, detail, digital, consultant, advise, adoption, communication, project"
animal sciences,"animal, behaviorist, study, modify, behavior, patterns, psychology, research, skills, observation, patience, problem, solving"
animal services,"pet, grief, counselor, support, families, loss, companion, animal, counseling, skills, empathy, communication, behavior, understanding, veterinary, technician, assist, veterinarians, care, medical, procedures, medicine, handling, equipment, patient, attention, detail, kennel, worker, shelters, cleaning, physical, stamina, patience"
architecture,"architect, design, buildings, oversee, construction, project, creativity, problem, solving, spatial, reasoning, communication, management, sustainable, architecture, environmental, friendly, structures, science, energy, systems, green, roof, create, living, landscape, engineering, virtual, reality, visualizer, immersive, previews, 3d, modeling, technology, skills"
art antiques,"auction, house, appraiser, evaluate, authenticate, valuable, items, art, history, valuation, skills, research, attention, detail"
arts crafts,"glass, blower, create, decorative, functional, objects, manual, dexterity, creativity, physical, stamina, safety, awareness, artistic, skills, potter, ceramic, pottery, items, attention, detail, patience, blacksmith, shape, forge, metal, using, traditional, techniques, problem, solving, craftsmanship, pet, portrait, representations, companion, animal, behavior, customer, service, communication, artisanal, fiber, dyer, textile, natural, materials, arts, cultural, knowledge"
arts culture,"museum, curator, manage, collections, educational, programs, research, skills, communication, organization, cultural, awareness, project, dance, instructor, teach, techniques, choreography, students, physical, coordination, creativity, patience, urban, sketching, drawing, capturing, city, scenes, artistic, observational, traditional, craft, historical, handicraft, craftsmanship, knowledge, digital, art, select, history, media"
arts sciences,"botanical, illustrator, create, scientific, drawings, plants, flowers, artistic, skills, botany, attention, detail, communication, knowledge"
automotive,"auto, mechanic, diagnose, repair, automotive, problem, solving, logical, reasoning, manual, dexterity, attention, detail, continuous, learning, autonomous, vehicle, tester, test, validate, self, driving, car, systems, technology, safety, protocols, data, analysis, wash, attendant, cleaning, using, various, techniques, physical, labor, customer, service, teamwork, gas, station, assist, fuel, cash, handling, basic, activity, electric, technician, maintain, charging, ev, diagnostics, engineering"
aviation,"flight, attendant, ensure, passenger, safety, comfort, communication, awareness, customer, service, stress, management, cultural, sensitivity, air, traffic, controller, direct, aircraft, movement, attention, detail, multitasking, decision, making, drone, pilot, operate, unmanned, aerial, vehicles, various, applications, aviation, regulations, remote, weather, assessment, protocols, technical, skills"
biotechnology,"synthetic, biology, engineer, design, create, artificial, systems, programming, innovation, problem, solving, bioprinting, technician, operate, 3d, printers, tissues, printing, technology, medical, knowledge, attention, detail, spider, silk, producer, manufacture, various, applications, materials, science, biocomputer, programmer, develop, computing, using, components, technical, skills, bioluminescent, lighting, sustainable, living, organisms, environmental, biorefinery, process, convert, waste, products, chemical"
business services,"project, management, coordinate, cross, functional, teams, deliver, time, budget, leadership, organization, communication, risk, assessment, business, analyst, analyze, process, recommend, improvement, analytical, thinking, problem, solving, systems, operations, oversee, daily, optimization, decision, making, strategic, administrative, assistant, provide, support, executives, multitasking, attention, detail, discretion, receptionist, greet, visitors, handle, phone, calls, appointments, customer, service, procurement, specialist, purchase, goods, negotiation, relationship, build, virtual, remote, technology, skills, online, coaching, help, entrepreneurs, success, digital, enterprises, consulting, intelligence, data, sql, tableau, powerbi, analysis, acumen, reporting, research, use, methods, complex, statistical, mathematical, modeling, programming, agent, vendor, cost, contract, supply, chain, knowledge, office, calendar, microsoft, entry, clerk, input, maintain, accurate, computer, typing, speed, database, software, accuracy, front, desk, etiquette, scheduling, professional, appearance, senior, stakeholder, requirements, gathering, activities, ensure, satisfaction, retention, product, filing, record, keeping, director, excellence, initiatives, planning, mapping, general, staff, answering, copy, machine, print, requests, equipment, basic, maintenance, experience, design, journey, revenue, sales, crm, work, policy, advisor, develop, implement, strategy, hr, change, trainer, teach, best, practices, client, training, distance, confidentiality"
cleaning services,"house, cleaner, provide, residential, cleaning, service, attention, detail, time, management, physical, stamina, customer, reliability, window, glass, surfaces, buildings, safety, awareness, fitness, problem, solving, janitor, maintain, cleanliness, sanitation, facilities, techniques, equipment, operation, housekeeping, aide, commercial, properties, skills, worker, offices"
construction,"construction, manage, oversee, projects, teams, leadership, problem, solving, safety, awareness, time, communication, electrician, install, repair, electrical, systems, building, manual, dexterity, attention, detail, logical, reasoning, plumber, plumbing, fixtures, physical, stamina, carpenter, wooden, structures, furniture, spatial, craftsmanship, hvac, technician, heating, ventilation, air, conditioning, customer, service, biocement, engineer, develop, self, healing, concrete, materials, science, biology, innovation, tiny, house, builder, small, scale, living, spaces, mobile, homes, skills, design, creativity, sustainable, inspector, evaluate, environmental, compliance, codes, standards, permeable, pavement, eco, friendly, surfaces, allow, water, drainage, protocols, technical, green, consultant, advise, practices, architecture, traditional, craft, specialist, preserve, historical, techniques, cultural, heritage, teaching, labor, assist, tool, usage, teamwork, following, instructions"
consulting,"digital, nomad, consultant, help, remote, workers, optimize, location, independent, careers, business, technology, skills, communication, cultural, awareness, travel, planning, transformation, organizations, adapt, new, processes, strategy, problem, solving, change, management, analytics, understand, online, performance, data, analysis, marketing, innovation, adopt, emerging, future, focused, principal, provide, expert, advisory, services, fortune, 500, companies, industry, expertise, strategic, thinking, client, presentation, senior, advise, executives, leadership, lead, guide, tech"
corporate governance,"ethics, officer, develop, oversee, organizational, programs, reasoning, communication, leadership, problem, solving, training, skills"
cosmetics,"perfumer, create, fragrances, scent, compositions, olfactory, skills, chemistry, knowledge, creative, blending, sensory, analysis, market, trends"
creative services,"graphic, designer, create, visual, content, marketing, materials, brand, assets, creativity, communication, color, theory, artistic, skills, awareness, photographs, capture, edit, various, purposes, composition, attention, detail, technical, aptitude, media, platforms, adobe, suite, guidelines, junior, time, management"
cultural heritage,"archivist, preserve, organize, historical, documents, records, research, digital, information, management, attention, detail, marine, archaeologist, study, underwater, sites, artifacts, archaeology, diving, skills, cultural, heritage, materials, science, metadata, standards, technical, rare, book, restorer, repair, manuscripts, texts, manual, dexterity, knowledge, patience, craftsmanship, use, technology, ancient, civilizations, methods, data, analysis, problem, solving, virtual, reality, museum, curator, create, immersive, educational, experiences, communication, creativity"
customer service,"customer, service, representative, provide, support, via, phone, email, chat, active, listening, patience, problem, solving, communication, empathy, handle, inquiries, resolve, issues, crm, systems"
design services,"interior, designer, spaces, residential, commercial, properties, creativity, spatial, reasoning, communication, client, relations, project, management, virtual, create, 3d, online, modeling, software, skills, terrarium, miniature, ecosystems, glass, containers, botany, attention, detail, customer, service, environmental, knowledge, color, consultant, advise, schemes, exterior, theory, visual"
earth sciences,"seismologist, study, earthquakes, earth, movements, geology, data, analysis, research, skills, mathematical, modeling, fieldwork"
economics,"economist, study, economic, trends, analyze, data, analytical, thinking, research, skills, critical, mathematical, reasoning, communication, ecological, relationship, systems, environmental, health, science, problem, solving"
education,"teacher, education, students, development, curriculum, classroom, instructional, communication, patience, creativity, organization, adaptability, library, assist, help, patrons, find, resources, maintain, research, skills, customer, service, attention, detail, historian, analyze, historical, events, trends, analytics, thinking, writing, critical, mushroom, identification, guide, lead, foraging, expeditions, teaching, safety, mycology, protocols, environmental, knowledge, online, learning, design, create, course, training, programs, digital, platforms, technology, problem, solving, instructor, specialized, subject, matter, expertise, virtual, reality, immersive, 3d, modeling, innovation, literacy, underserved, populations, cultural, sensitivity, support, specialist, navigate, privacy, individuals, security, cybersecurity, quality, assurance, ensure, meet, standards, control, management, foster, engaging, connection, workshop, facilitator, interactive, sessions, group, dynamics, technical, producer, aspects, content, creation, video, production, theory, tools, assessment, operations, computer, childcare, worker, supervise, care, children, daycare, settings, child, awareness, elementary, school, nurture, young, grades, high, specific, areas, lesson, planning, librarian, information, needs, science, remote, troubleshooting, empathy, language, tutor, via, proficiency, tests, quizzes, reviewer, classes, reporting, experience, build, journeys, ux, data, administrator, systems, curator, select, integrator, implement, new, edtech, tester, check, bugs, analyst, users, sustainability, topics, coding, bootcamp, mentor, intensive, score, linguistics, analysis, art, techniques"
emergency services,"disaster, recovery, specialist, plan, coordinate, emergency, response, procedures, management, risk, assessment, communication, leadership, crisis, organize, relief, efforts, resource, allocation, cave, rescue, technician, perform, underground, environments, technical, skills, physical, fitness, problem, solving, safety, protocols, pet, rescuer, save, care, animal, natural, handling, empathy"
energy,"hydrogen, fuel, cell, technician, maintain, repair, energy, systems, diagnostics, electrical, engineering, safety, protocols, troubleshooting"
energy research,"fusion, energy, research, develop, clean, nuclear, physics, engineering, skills, innovation, problem, solving"
energy services,"home, energy, auditor, assess, residential, efficiency, recommend, improvements, systems, knowledge, problem, solving, communication, attention, detail, technical, skills"
engineering,"mechanical, engineer, design, develop, systems, products, problem, solving, mathematical, reasoning, spatial, critical, thinking, project, management, electrical, troubleshoot, safety, awareness, attention, detail, civil, supervise, construction, infrastructure, biomechanical, medical, devices, prosthetics, principles, knowledge, cad, innovation, biomedical, equipment, biology, nanotechnology, create, materials, molecular, level, science, physics, chemistry, metamaterial, properties, found, nature, programmable, matter, change, shape, programming"
