Group_Industry,Combined_Vocab,Word_Count
advertising,"activity, advertising, art, aspects, attention, awareness, brand, businesses, campaigns, communication, content, copywriter, creative, customer, detail, develop, director, distribute, distributor, executive, flyers, hold, holder, implement, interaction, leadership, leaflet, management, marketing, materials, media, oversee, persuasion, physical, planning, project, promote, reliability, research, sign, skills, stamina, strategic, team, thinking, time, tolerance, visual, weather, write",50
aerospace,"aerodynamics, aerospace, aircraft, analysis, assessment, asteroid, cad, capable, coordinate, data, debris, design, earth, elevator, engineering, environmental, exploration, extracting, extreme, flight, habitable, humans, hypersonic, innovation, make, management, materials, mathematical, mechanics, mining, mission, modeling, monitor, movements, orbital, physics, planetary, planets, planner, planning, predict, problem, project, resources, risk, science, skills, solving, space, spacecraft, specialist, speeds, strategic, systems, technical, terraforming, testing, tracker, transportation",59
agriculture,"adoption, advise, agriculture, aircraft, analysis, ancient, animal, antique, aquaculture, aquaponics, aquatic, assess, attention, aviation, awareness, bee, beekeeper, biology, botany, breeds, catch, chemical, city, colonies, commercial, communication, conservation, conservationist, consultant, control, crop, cultivate, customer, data, dense, detail, digital, duster, endangered, environmental, environments, equipment, exotic, farm, farmer, fields, fish, fisherman, flying, food, fruit, genetics, gps, grain, grapes, grow, grower, guardian, harvest, healing, health, heirloom, herbs, heritage, historical, honey, horticulture, husbandry, hydroponics, implement, improve, indoor, innovation, knowledge, livestock, maintenance, management, markets, medicine, microgreen, miller, mushroom, mycology, navigation, nutrient, operation, optimize, organisms, oversee, perform, physical, pilot, planning, plants, practices, precision, preserve, problem, processing, production, project, protect, purposes, quality, raise, rare, regenerative, research, restaurants, restore, safety, science, seafood, seasonal, service, skills, soil, solving, specialist, spray, stamina, sustainable, systems, tasks, technology, thinking, time, together, tomato, traditional, tree, urban, use, varieties, vegetables, vertical, viticulturist, water, weather, wheat, wine, work, worker, young",144
animal,"animal, assist, attention, behavior, behaviorist, care, cleaning, communication, companion, counseling, counselor, detail, empathy, equipment, families, grief, handling, kennel, loss, medical, medicine, modify, observation, patience, patient, patterns, pet, physical, problem, procedures, psychology, research, shelters, skills, solving, stamina, study, support, technician, understanding, veterinarians, veterinary, worker",43
architecture,"3d, architect, architecture, buildings, communication, construction, create, creativity, design, energy, engineering, environmental, friendly, green, immersive, landscape, living, management, modeling, oversee, previews, problem, project, reality, reasoning, roof, science, skills, solving, spatial, structures, sustainable, systems, technology, virtual, visualizer",36
art,"analysis, animal, appraiser, art, artisanal, artistic, arts, attention, auction, authenticate, awareness, behavior, blacksmith, blower, botanical, botany, capturing, ceramic, choreography, city, collections, communication, companion, coordination, craft, craftsmanship, create, creativity, cultural, curator, customer, dance, data, decorative, detail, dexterity, digital, drawing, drawings, dyer, earth, earthquakes, educational, evaluate, fiber, fieldwork, flowers, forge, functional, geology, glass, handicraft, historical, history, house, illustrator, instructor, items, knowledge, manage, manual, materials, mathematical, media, metal, modeling, movements, museum, natural, objects, observational, organization, patience, pet, physical, plants, portrait, potter, pottery, problem, programs, project, representations, research, safety, scenes, scientific, seismologist, select, service, shape, sketching, skills, solving, stamina, students, study, teach, techniques, textile, traditional, urban, using, valuable, valuation",105
automotive,"activity, analysis, assist, attendant, attention, auto, automotive, autonomous, basic, car, cash, charging, cleaning, continuous, customer, data, detail, dexterity, diagnose, diagnostics, driving, electric, engineering, ev, fuel, gas, handling, labor, learning, logical, maintain, manual, mechanic, physical, problem, protocols, reasoning, repair, safety, self, service, solving, station, systems, teamwork, technician, techniques, technology, test, tester, using, validate, various, vehicle, wash",55
aviation,"aerial, air, aircraft, applications, assessment, attendant, attention, aviation, awareness, comfort, communication, controller, cultural, customer, decision, detail, direct, drone, ensure, flight, making, management, movement, multitasking, operate, passenger, pilot, protocols, regulations, remote, safety, sensitivity, service, skills, stress, technical, traffic, unmanned, various, vehicles, weather",41
biotechnology,"3d, applications, artificial, attention, biocomputer, biology, bioluminescent, bioprinting, biorefinery, chemical, components, computing, convert, create, design, detail, develop, engineer, environmental, innovation, knowledge, lighting, living, manufacture, materials, medical, operate, organisms, printers, printing, problem, process, producer, products, programmer, programming, science, silk, skills, solving, spider, sustainable, synthetic, systems, technical, technician, technology, tissues, using, various, waste",51
service,"3d, access, accessible, accounts, accuracy, accurate, active, activities, activity, acumen, adaptability, adaptation, addresses, adherence, administrative, adobe, advise, advisor, advocacy, advocate, affected, agent, agriculture, aide, allocation, alter, amendments, analysis, analyst, analytical, analyze, ancestral, ancestry, animal, answering, appearance, appointments, aptitude, aquarium, aquatic, artistic, assess, assessment, assets, assistant, atmosphere, atmospheric, attendant, attention, attorney, audit, authority, awareness, away, bailiff, bank, basic, bees, behavior, beneficial, benefits, best, biochar, biodiversity, biology, bookkeeper, botany, brand, budget, build, buildings, business, businesses, butterfly, calendar, calls, capture, carbon, care, carrier, case, cave, chain, change, chaser, chat, chemical, chemistry, city, clean, cleaner, cleaning, cleanliness, clerk, client, climate, climbing, clocks, clothing, co2, coaching, cobbler, collection, color, commercial, communication, company, complex, compliance, composition, computer, concentration, conduct, confidentiality, conflict, connections, conservation, conservationist, consultant, consulting, containers, content, contract, coordinate, coordination, coordinator, copy, coral, cost, counsel, counseling, court, courtrooms, craftsmanship, create, creativity, credit, crimes, criminal, crisis, crm, cross, cultivate, cultural, curator, cushions, customer, daily, damaged, data, database, deaf, death, decision, deliver, design, designer, desk, detail, develop, dexterity, digital, director, disaster, discretion, distance, distribute, distribution, diversity, diving, document, documentation, dog, eco, ecology, economic, ecosystems, edible, edit, educational, efforts, email, emergency, empathy, engineering, ensure, enterprises, entomology, entrepreneurs, entry, environmental, environments, equipment, estate, ethical, etiquette, evaluate, event, excellence, executives, executor, exercise, experience, expert, exterior, extreme, facilitate, facilities, families, family, fieldwork, filing, financial, fish, fitness, flooding, flows, fluency, focused, fold, food, forager, forecaster, forensic, fraud, freedoms, friendly, front, functional, funeral, furniture, future, garden, garments, gathering, genealogist, genealogy, general, generations, genetic, glass, goods, graphic, greet, greywater, grief, grieving, groomer, grooming, guide, guidelines, habitat, handle, handling, harvest, hearing, heirloom, help, heritage, historical, histories, horticulture, house, household, housekeeping, hr, identify, identities, immersive, immigration, impact, implement, improvement, independent, indigenous, individuals, information, initiatives, innovation, input, inquiries, insects, intellectual, intelligence, interior, international, interpreter, investigate, ip, issues, items, janitor, journey, junior, justice, keeper, keeping, knowledge, labor, language, laundry, law, lawyer, lead, leadership, leather, legacy, legal, lifting, listening, living, location, love, machine, mail, maintain, maintenance, making, manage, management, manual, mapping, marine, marketing, material, materials, mathematical, matters, media, meteorology, methods, microsoft, miniature, modeling, mover, moving, multitasking, native, natural, navigation, need, negotiation, nomad, notary, office, officer, offices, offsets, online, operate, operation, operations, optimization, order, organic, organization, organizational, organize, oversee, pack, packages, paralegal, passes, patent, patience, patterns, people, perform, permaculture, persistence, personal, pet, pets, phenomena, phone, photographs, photography, physical, plan, planner, planning, plant, platforms, plumbing, policy, pollinator, pool, populations, powerbi, practice, practices, precision, predict, preparation, prepare, presence, preservation, preserve, print, privacy, private, problem, procedures, proceedings, process, procurement, product, production, professional, proficiency, programming, project, promote, properties, property, protect, protocols, provide, psychological, psychologist, public, purchase, purposes, quantify, rain, rainforest, rainwater, reality, reasoning, receptionist, recommend, record, records, recovery, recycling, reduce, reef, regulations, regulatory, rehabilitate, relations, relationship, reliability, relief, remote, remove, repair, repairs, report, reporting, representative, requests, requirements, rescue, rescuer, research, residential, resolution, resolve, resource, response, responsibility, restoration, restore, retention, returns, reupholster, reuse, revenue, rights, risk, river, rope, routine, safety, sales, sanitation, satisfaction, save, scheduling, schemes, science, scientific, scientist, security, seed, senior, sequestering, server, service, services, severe, shoes, sign, signings, site, skills, small, social, software, soil, solutions, solving, someone, sort, sovereignty, spaces, spas, spatial, speaking, specialist, species, speed, spoken, sql, staff, stakeholder, stamina, statistical, storage, storm, strategic, strategy, stream, strength, stress, structures, study, success, suite, supply, support, surfaces, sustainability, swimming, systems, tableau, tailor, tall, tanks, tax, teach, teaching, teams, teamwork, tech, technical, technician, techniques, technology, terrarium, testimony, theory, thinking, time, timepieces, tool, tours, trace, track, trade, traditional, trainer, training, translate, transport, treatment, tropical, typing, underground, understanding, upholsterer, urban, usage, use, using, utilize, valuer, varieties, various, vendor, verify, via, victim, virtual, visa, visitors, visual, walker, waste, wastewater, watchmaker, water, weather, wetland, window, within, witness, work, worker, workers, writing, written",603
construction,"advise, air, allow, architecture, assist, attention, awareness, biocement, biology, builder, building, carpenter, codes, communication, compliance, concrete, conditioning, construction, consultant, craft, craftsmanship, creativity, cultural, customer, design, detail, develop, dexterity, drainage, eco, electrical, electrician, engineer, environmental, evaluate, fixtures, following, friendly, furniture, green, healing, heating, heritage, historical, homes, house, hvac, innovation, inspector, install, instructions, labor, leadership, living, logical, manage, manual, materials, mobile, oversee, pavement, permeable, physical, plumber, plumbing, practices, preserve, problem, projects, protocols, reasoning, repair, safety, scale, science, self, service, skills, small, solving, spaces, spatial, specialist, stamina, standards, structures, surfaces, sustainable, systems, teaching, teams, teamwork, technical, technician, techniques, time, tiny, tool, traditional, usage, ventilation, water, wooden",103
consulting,"500, adapt, adopt, advise, advisory, analysis, analytics, awareness, business, careers, change, client, communication, companies, consultant, cultural, data, digital, emerging, executives, expert, expertise, focused, fortune, future, guide, help, independent, industry, innovation, lead, leadership, location, management, marketing, new, nomad, online, optimize, organizations, performance, planning, presentation, principal, problem, processes, provide, remote, senior, services, skills, solving, strategic, strategy, tech, technology, thinking, transformation, travel, understand, workers",61
corporate governance,"communication, develop, ethics, leadership, officer, organizational, oversee, problem, programs, reasoning, skills, solving, training",13
cosmetics,"analysis, blending, chemistry, compositions, create, creative, fragrances, knowledge, market, olfactory, perfumer, scent, sensory, skills, trends",15
