source_id,title,description,requirements,company_name,location,salary_range,is_dataset_job
1,Software Engineer,"Develop and maintain web applications using modern frameworks
Industry: Technology",Problem Solving Logical Reasoning Attention to Detail Team Collaboration Critical Thinking,__DATASET__::Technology,Unknown,High paying,True
2,Data Scientist,"Analyze large datasets to extract business insights and build predictive models
Industry: Technology",Analytical Thinking Pattern Recognition Mathematical Reasoning Problem Solving Research Skills,__DATASET__::Technology,Unknown,High paying,True
3,Marketing Manager,"Lead marketing campaigns and brand strategy development
Industry: Marketing",Creative Thinking Strategic Planning Communication Leadership Project Management,__DATASET__::Marketing,Unknown,Average paying,True
4,UX Designer,"Design user-friendly interfaces and improve user experience
Industry: Technology",Creative Problem Solving Empathy Research Skills Visual Thinking User-Centered Design,__DATASET__::Technology,Unknown,Average paying,True
5,Financial Analyst,"Analyze financial data and prepare reports for investment decisions
Industry: Finance",Analytical Thinking Attention to Detail Mathematical Reasoning Critical Thinking Report Writing,__DATASET__::Finance,Unknown,Average paying,True
6,Project Manager,"Coordinate cross-functional teams to deliver projects on time and budget
Industry: Business Services",Leadership Organization Time Management Communication Risk Assessment,__DATASET__::Business Services,Unknown,Average paying,True
7,Sales Representative,"Generate leads and close deals with potential customers
Industry: Sales",Persuasion Communication Relationship Building Resilience Goal Orientation,__DATASET__::Sales,Unknown,Average paying,True
8,HR Specialist,"Manage recruitment processes and employee relations
Industry: Human Resources",Interpersonal Skills Communication Conflict Resolution Organizational Skills Discretion,__DATASET__::Human Resources,Unknown,Average paying,True
9,Graphic Designer,"Create visual content for marketing materials and brand assets
Industry: Creative Services",Creativity Visual Communication Color Theory Artistic Skills Brand Awareness,__DATASET__::Creative Services,Unknown,Average paying,True
10,Business Analyst,"Analyze business processes and recommend improvements
Industry: Business Services",Analytical Thinking Process Improvement Problem Solving Communication Systems Thinking,__DATASET__::Business Services,Unknown,Average paying,True
11,Content Writer,"Create engaging content for websites blogs and marketing materials
Industry: Media & Publishing",Creative Writing Research Skills Communication Adaptability Time Management,__DATASET__::Media & Publishing,Unknown,Average paying,True
12,Network Administrator,"Maintain and troubleshoot computer networks and systems
Industry: Technology",Problem Solving Technical Troubleshooting Logical Reasoning Attention to Detail Patience,__DATASET__::Technology,Unknown,Average paying,True
13,Accountant,"Prepare financial statements and manage accounting records
Industry: Finance",Mathematical Accuracy Attention to Detail Organizational Skills Analytical Thinking Ethics,__DATASET__::Finance,Unknown,Average paying,True
14,Customer Service Representative,"Provide support to customers via phone email and chat
Industry: Customer Service",Active Listening Patience Problem Solving Communication Empathy,__DATASET__::Customer Service,Unknown,Low paying,True
15,Operations Manager,"Oversee daily operations and optimize business processes
Industry: Business Services",Leadership Process Improvement Decision Making Strategic Thinking Team Management,__DATASET__::Business Services,Unknown,Average paying,True
16,DevOps Engineer,"Implement CI/CD pipelines and manage cloud infrastructure
Industry: Technology",Problem Solving Systems Thinking Automation Mindset Continuous Learning Technical Troubleshooting,__DATASET__::Technology,Unknown,High paying,True
17,Quality Assurance Tester,"Test software applications to identify bugs and ensure quality
Industry: Technology",Attention to Detail Critical Thinking Problem Solving Patience Systematic Thinking,__DATASET__::Technology,Unknown,Average paying,True
18,Social Media Manager,"Manage social media presence and create engaging content
Industry: Marketing",Creative Thinking Trend Awareness Communication Brand Awareness Community Building,__DATASET__::Marketing,Unknown,Average paying,True
19,Research Scientist,"Conduct scientific research and publish findings
Industry: Research & Development",Critical Thinking Research Skills Analytical Reasoning Persistence Scientific Writing,__DATASET__::Research & Development,Unknown,High paying,True
20,Legal Assistant,"Support lawyers with case preparation and legal documentation
Industry: Legal Services",Attention to Detail Research Skills Organization Confidentiality Time Management,__DATASET__::Legal Services,Unknown,Average paying,True
21,Web Developer,"Build and maintain websites using various programming languages
Industry: Technology",Problem Solving Creative Thinking Attention to Detail Continuous Learning Adaptability,__DATASET__::Technology,Unknown,Average paying,True
22,Nurse,"Provide patient care in healthcare settings
Industry: Healthcare",Compassion Clinical Judgment Communication Attention to Detail Stress Management,__DATASET__::Healthcare,Unknown,Average paying,True
23,Teacher,"Educate students and develop curriculum for classroom instruction
Industry: Education",Communication Patience Creativity Organization Adaptability,__DATASET__::Education,Unknown,Average paying,True
24,Mechanical Engineer,"Design and develop mechanical systems and products
Industry: Engineering",Problem Solving Mathematical Reasoning Spatial Reasoning Critical Thinking Project Management,__DATASET__::Engineering,Unknown,High paying,True
25,Digital Marketing Specialist,"Execute digital marketing campaigns across multiple channels
Industry: Marketing",Analytical Thinking Creative Problem Solving Data Interpretation Communication Trend Awareness,__DATASET__::Marketing,Unknown,Average paying,True
26,Database Administrator,"Manage and maintain database systems and ensure data integrity
Industry: Technology",Logical Reasoning Problem Solving Attention to Detail Systems Thinking Security Awareness,__DATASET__::Technology,Unknown,Average paying,True
27,Administrative Assistant,"Provide administrative support to executives and teams
Industry: Business Services",Organization Multitasking Communication Attention to Detail Discretion,__DATASET__::Business Services,Unknown,Low paying,True
28,Video Editor,"Edit and produce video content for various media platforms
Industry: Media & Publishing",Creativity Attention to Detail Time Management Visual Storytelling Technical Aptitude,__DATASET__::Media & Publishing,Unknown,Average paying,True
29,Cybersecurity Analyst,"Monitor and protect computer systems from security threats
Industry: Technology",Critical Thinking Problem Solving Attention to Detail Ethical Reasoning Continuous Learning,__DATASET__::Technology,Unknown,High paying,True
30,Supply Chain Coordinator,"Manage inventory and coordinate logistics operations
Industry: Logistics",Organization Analytical Thinking Communication Problem Solving Time Management,__DATASET__::Logistics,Unknown,Average paying,True
31,Mobile App Developer,"Develop mobile applications for iOS and Android platforms
Industry: Technology",Problem Solving Logical Reasoning User Experience Design Attention to Detail Innovation,__DATASET__::Technology,Unknown,High paying,True
32,Interior Designer,"Design interior spaces for residential and commercial properties
Industry: Design Services",Creativity Spatial Reasoning Communication Client Relations Project Management,__DATASET__::Design Services,Unknown,Average paying,True
33,Electrical Engineer,"Design electrical systems and troubleshoot electrical problems
Industry: Engineering",Problem Solving Mathematical Reasoning Safety Awareness Attention to Detail Critical Thinking,__DATASET__::Engineering,Unknown,High paying,True
34,Marketing Coordinator,"Support marketing initiatives and coordinate promotional activities
Industry: Marketing",Organization Communication Creative Thinking Time Management Attention to Detail,__DATASET__::Marketing,Unknown,Low paying,True
35,Technical Writer,"Create technical documentation and user manuals
Industry: Media & Publishing",Communication Clarity Logical Organization Research Skills Attention to Detail,__DATASET__::Media & Publishing,Unknown,Average paying,True
36,Pharmacist,"Dispense medications and provide pharmaceutical care to patients
Industry: Healthcare",Attention to Detail Communication Patient Care Scientific Knowledge Ethical Reasoning,__DATASET__::Healthcare,Unknown,High paying,True
37,Product Manager,"Define product strategy and coordinate product development
Industry: Technology",Strategic Thinking Leadership Communication Market Awareness Decision Making,__DATASET__::Technology,Unknown,High paying,True
38,Event Planner,"Plan and coordinate events from conception to execution
Industry: Hospitality",Organization Time Management Communication Problem Solving Attention to Detail,__DATASET__::Hospitality,Unknown,Average paying,True
39,Speech Therapist,"Provide therapy services to patients with communication disorders
Industry: Healthcare",Patience Communication Assessment Skills Empathy Problem Solving,__DATASET__::Healthcare,Unknown,Average paying,True
40,Civil Engineer,"Design and supervise construction of infrastructure projects
Industry: Engineering",Problem Solving Mathematical Reasoning Safety Awareness Project Management Critical Thinking,__DATASET__::Engineering,Unknown,High paying,True
41,SEO Specialist,"Optimize websites to improve search engine rankings
Industry: Marketing",Analytical Thinking Research Skills Attention to Detail Strategic Thinking Continuous Learning,__DATASET__::Marketing,Unknown,Average paying,True
42,Physical Therapist,"Provide rehabilitation services to patients with injuries
Industry: Healthcare",Empathy Physical Assessment Communication Patience Problem Solving,__DATASET__::Healthcare,Unknown,High paying,True
43,Investment Advisor,"Provide financial advice and investment recommendations to clients
Industry: Finance",Analytical Thinking Communication Risk Assessment Trust Building Financial Acumen,__DATASET__::Finance,Unknown,High paying,True
44,Veterinarian,"Provide medical care to animals and educate pet owners
Industry: Healthcare",Compassion Problem Solving Communication Scientific Knowledge Stress Management,__DATASET__::Healthcare,Unknown,High paying,True
45,Real Estate Agent,"Help clients buy sell and rent properties
Industry: Real Estate",Communication Negotiation Market Knowledge Relationship Building Persistence,__DATASET__::Real Estate,Unknown,Average paying,True
46,Chef,"Prepare meals and manage kitchen operations
Industry: Food Service",Creativity Time Management Leadership Attention to Detail Stress Management,__DATASET__::Food Service,Unknown,Average paying,True
47,Translator,"Translate written and spoken content between languages
Industry: Professional Services",Language Proficiency Cultural Awareness Attention to Detail Communication Adaptability,__DATASET__::Professional Services,Unknown,Average paying,True
48,Architect,"Design buildings and oversee construction projects
Industry: Architecture",Creativity Problem Solving Spatial Reasoning Communication Project Management,__DATASET__::Architecture,Unknown,High paying,True
49,Occupational Therapist,"Help patients develop skills for daily living activities
Industry: Healthcare",Empathy Problem Solving Communication Assessment Skills Patience,__DATASET__::Healthcare,Unknown,High paying,True
50,Construction Manager,"Oversee construction projects and manage construction teams
Industry: Construction",Leadership Problem Solving Safety Awareness Time Management Communication,__DATASET__::Construction,Unknown,High paying,True
51,Fashion Designer,"Design clothing and accessories for various markets
Industry: Fashion",Creativity Trend Awareness Visual Skills Innovation Color Theory,__DATASET__::Fashion,Unknown,Average paying,True
52,Massage Therapist,"Provide therapeutic massage services to clients
Industry: Healthcare",Physical Dexterity Empathy Communication Client Care Attention to Detail,__DATASET__::Healthcare,Unknown,Average paying,True
53,Insurance Agent,"Sell insurance policies and provide customer service
Industry: Insurance",Communication Persuasion Risk Assessment Trust Building Problem Solving,__DATASET__::Insurance,Unknown,Average paying,True
54,Dental Hygienist,"Provide dental cleaning and preventive care services
Industry: Healthcare",Attention to Detail Patient Care Communication Manual Dexterity Safety Awareness,__DATASET__::Healthcare,Unknown,Average paying,True
55,Personal Trainer,"Provide fitness training and exercise guidance to clients
Industry: Fitness & Recreation",Motivation Communication Goal Setting Safety Awareness Adaptability,__DATASET__::Fitness & Recreation,Unknown,Low paying,True
56,Photographer,"Capture and edit photographs for various purposes
Industry: Creative Services",Creativity Visual Composition Attention to Detail Communication Technical Aptitude,__DATASET__::Creative Services,Unknown,Average paying,True
57,Landscaper,"Design and maintain outdoor spaces and gardens
Industry: Landscaping",Creativity Physical Stamina Attention to Detail Planning Problem Solving,__DATASET__::Landscaping,Unknown,Low paying,True
58,Electrician,"Install and repair electrical systems in buildings
Industry: Construction",Problem Solving Safety Awareness Manual Dexterity Attention to Detail Logical Reasoning,__DATASET__::Construction,Unknown,Average paying,True
59,Plumber,"Install and repair plumbing systems and fixtures
Industry: Construction",Problem Solving Manual Dexterity Safety Awareness Attention to Detail Physical Stamina,__DATASET__::Construction,Unknown,Average paying,True
60,Carpenter,"Build and repair wooden structures and furniture
Industry: Construction",Manual Dexterity Problem Solving Attention to Detail Spatial Reasoning Craftsmanship,__DATASET__::Construction,Unknown,Average paying,True
61,Auto Mechanic,"Diagnose and repair automotive problems
Industry: Automotive",Problem Solving Logical Reasoning Manual Dexterity Attention to Detail Continuous Learning,__DATASET__::Automotive,Unknown,Average paying,True
62,Hair Stylist,"Provide hair cutting styling and coloring services
Industry: Personal Care",Creativity Communication Client Relations Manual Dexterity Trend Awareness,__DATASET__::Personal Care,Unknown,Low paying,True
63,Dental Assistant,"Assist dentists with patient care and office procedures
Industry: Healthcare",Attention to Detail Patient Care Communication Organization Multitasking,__DATASET__::Healthcare,Unknown,Low paying,True
64,Bartender,"Prepare and serve alcoholic and non-alcoholic beverages
Industry: Food Service",Communication Multitasking Customer Service Memory Creativity,__DATASET__::Food Service,Unknown,Low paying,True
65,Security Guard,"Monitor and protect property and people
Industry: Security",Vigilance Communication Problem Solving Stress Management Physical Fitness,__DATASET__::Security,Unknown,Low paying,True
66,Flight Attendant,"Ensure passenger safety and comfort during flights
Industry: Aviation",Communication Safety Awareness Customer Service Stress Management Cultural Sensitivity,__DATASET__::Aviation,Unknown,Average paying,True
67,Truck Driver,"Transport goods safely and efficiently over long distances
Industry: Transportation",Safety Awareness Time Management Navigation Stress Management Physical Stamina,__DATASET__::Transportation,Unknown,Average paying,True
68,Receptionist,"Greet visitors and handle phone calls and appointments
Industry: Business Services",Communication Organization Multitasking Customer Service Attention to Detail,__DATASET__::Business Services,Unknown,Low paying,True
69,Janitor,"Maintain cleanliness and sanitation of buildings
Industry: Facilities Management",Attention to Detail Time Management Physical Stamina Safety Awareness Work Ethic,__DATASET__::Facilities Management,Unknown,Low paying,True
70,Cashier,"Process customer transactions and provide customer service
Industry: Retail",Attention to Detail Communication Customer Service Mathematical Accuracy Multitasking,__DATASET__::Retail,Unknown,Low paying,True
71,Waiter,"Serve food and beverages to restaurant customers
Industry: Food Service",Communication Customer Service Multitasking Memory Physical Stamina,__DATASET__::Food Service,Unknown,Low paying,True
72,Retail Sales Associate,"Assist customers and process sales transactions
Industry: Retail",Communication Customer Service Persuasion Product Knowledge Patience,__DATASET__::Retail,Unknown,Low paying,True
73,Library Assistant,"Help patrons find resources and maintain library organization
Industry: Education",Research Skills Communication Organization Customer Service Attention to Detail,__DATASET__::Education,Unknown,Low paying,True
74,Museum Curator,"Manage museum collections and educational programs
Industry: Arts & Culture",Research Skills Communication Organization Cultural Awareness Project Management,__DATASET__::Arts & Culture,Unknown,Average paying,True
75,Park Ranger,"Protect natural resources and educate visitors about parks
Industry: Government",Communication Environmental Awareness Safety Skills Leadership Physical Fitness,__DATASET__::Government,Unknown,Average paying,True
76,Fire Fighter,"Respond to emergency situations and provide fire suppression
Industry: Public Safety",Physical Fitness Teamwork Stress Management Problem Solving Safety Awareness,__DATASET__::Public Safety,Unknown,Average paying,True
77,Police Officer,"Enforce laws and maintain public safety
Industry: Public Safety",Communication Problem Solving Physical Fitness Ethical Reasoning Stress Management,__DATASET__::Public Safety,Unknown,Average paying,True
78,Paramedic,"Provide emergency medical care and transport patients
Industry: Healthcare",Quick Decision Making Stress Management Communication Empathy Physical Fitness,__DATASET__::Healthcare,Unknown,Average paying,True
79,Social Worker,"Provide support services to individuals and families
Industry: Social Services",Empathy Communication Problem Solving Advocacy Skills Stress Management,__DATASET__::Social Services,Unknown,Average paying,True
80,Psychologist,"Provide mental health assessment and therapy services
Industry: Healthcare",Active Listening Empathy Analytical Thinking Communication Ethical Reasoning,__DATASET__::Healthcare,Unknown,High paying,True
81,Radiologic Technologist,"Perform medical imaging procedures for diagnosis
Industry: Healthcare",Attention to Detail Safety Awareness Communication Technical Aptitude Patient Care,__DATASET__::Healthcare,Unknown,Average paying,True
